Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2000,3.3.1 Under-five mortality rate (U5MR),,Female,under 5 years old,,,Per 100 live births,110.1
2005,3.3.1 Under-five mortality rate (U5MR),,Female,under 5 years old,,,Per 100 live births,97.0
2010,3.3.1 Under-five mortality rate (U5MR),,Female,under 5 years old,,,Per 100 live births,59.0
2014,3.3.1 Under-five mortality rate (U5MR),,Female,under 5 years old,,,Per 100 live births,41.0
2000,3.3.1 Under-five mortality rate (U5MR),,Male,under 5 years old,,,Per 100 live births,132.8
2005,3.3.1 Under-five mortality rate (U5MR),,Male,under 5 years old,,,Per 100 live births,115.0
2010,3.3.1 Under-five mortality rate (U5MR),,Male,under 5 years old,,,Per 100 live births,76.0
2014,3.3.1 Under-five mortality rate (U5MR),,Male,under 5 years old,,,Per 100 live births,54.0
2000,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,,Per 100 live births,124.4
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,,Per 100 live births,83.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,,Per 100 live births,54.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,,Per 100 live births,35.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,127.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,90.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,76.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 2,Per 100 live births,129.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 2,Per 100 live births,83.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 2,Per 100 live births,56.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 3,Per 100 live births,114.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 3,Per 100 live births,68.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 3,Per 100 live births,41.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 4,Per 100 live births,92.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 4,Per 100 live births,49.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 4,Per 100 live births,33.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 5 (richest),Per 100 live births,43.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 5 (richest),Per 100 live births,30.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,,Quintile 5 (richest),Per 100 live births,19.0
2000,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Urban,,Per 100 live births,92.6
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Urban,,Per 100 live births,76.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Urban,,Per 100 live births,29.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Urban,,Per 100 live births,18.0
2000,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Rural,,Per 100 live births,126.0
2005,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Rural,,Per 100 live births,111.0
2010,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Rural,,Per 100 live births,75.0
2014,3.3.1 Under-five mortality rate (U5MR),,,under 5 years old,Rural,,Per 100 live births,52.0
2000,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,107.7
2005,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,96.0
2010,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,76.0
2014,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,32.0
2000,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,133.8
2005,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,111.0
2010,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,58.0
2014,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,48.0
2000,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,160.0
2005,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,101.0
2010,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,97.0
2014,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,55.0
2000,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,89.5
2005,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,122.0
2010,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,73.0
2014,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,31.0
2000,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,98.8
2005,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,106.0
2010,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,67.0
2014,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,60.0
2000,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,108.2
2005,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,101.0
2010,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,69.0
2014,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,40.0
2000,3.3.1 Under-five mortality rate (U5MR),Koh Kong,,under 5 years old,,,Per 100 live births,90.8
2005,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,116.0
2010,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,86.0
2014,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,80.0
2005,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,110.0
2010,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,47.0
2014,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,41.0
2000,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,49.7
2005,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,52.0
2010,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,18.0
2014,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,23.0
2000,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,151.3
2005,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,143.0
2010,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,74.0
2014,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,75.0
2000,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,172.7
2005,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,106.0
2010,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,57.0
2014,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,36.0
2005,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,94.0
2010,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,60.0
2014,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,56.0
2000,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,129.6
2005,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,110.0
2010,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,93.0
2014,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,63.0
2000,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,118.5
2005,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,102.0
2010,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,84.0
2014,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,31.0
2000,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,126.6
2005,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,116.0
2010,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,54.0
2014,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,37.0
2000,3.3.1 Under-five mortality rate (U5MR),"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Per 100 live births,124.4
2000,3.3.1 Under-five mortality rate (U5MR),"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Per 100 live births,119.5
2000,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,229.3
2005,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,165.0
2010,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,106.0
2014,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,80.0
2000,3.3.1 Under-five mortality rate (U5MR),Otdar Meanchey and Siem Reap,,under 5 years old,,,Per 100 live births,124.6
2005,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,83.0
2010,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,73.0
2014,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,44.0
2005,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,104.0
2010,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,63.0
2014,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,42.0
2005,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,146.0
2010,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,118.0
2014,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,79.0
