Year,SERIES,តំបន់យោង,ការរួមភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,Value
2000,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,45.9
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,35.8
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,38.2
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,31.9
2000,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,43.3
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,38.8
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,41.6
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,32.9
2000,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,44.6
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,37.3
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,39.9
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,32.4
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,46.7
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,51.1
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,41.9
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,42.5
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,44.4
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,37.1
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,36.5
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,39.3
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,31.7
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,35.5
2010,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,34.2
2014,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,29.1
2005,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ភាគរយ,19.4
