Year,SERIES,Reference area,UNIT_MEASURE,Value
1979,18.2.1 Number of civilian casualties from mines/ERW,,Number,4674
1980,18.2.1 Number of civilian casualties from mines/ERW,,Number,1343
1981,18.2.1 Number of civilian casualties from mines/ERW,,Number,1021
1982,18.2.1 Number of civilian casualties from mines/ERW,,Number,1893
1983,18.2.1 Number of civilian casualties from mines/ERW,,Number,2761
1984,18.2.1 Number of civilian casualties from mines/ERW,,Number,2966
1985,18.2.1 Number of civilian casualties from mines/ERW,,Number,3520
1986,18.2.1 Number of civilian casualties from mines/ERW,,Number,2902
1987,18.2.1 Number of civilian casualties from mines/ERW,,Number,3533
1988,18.2.1 Number of civilian casualties from mines/ERW,,Number,2967
1989,18.2.1 Number of civilian casualties from mines/ERW,,Number,3333
1990,18.2.1 Number of civilian casualties from mines/ERW,,Number,3000
1991,18.2.1 Number of civilian casualties from mines/ERW,,Number,2427
1992,18.2.1 Number of civilian casualties from mines/ERW,,Number,2189
1993,18.2.1 Number of civilian casualties from mines/ERW,,Number,2535
1994,18.2.1 Number of civilian casualties from mines/ERW,,Number,2809
1995,18.2.1 Number of civilian casualties from mines/ERW,,Number,3333
1996,18.2.1 Number of civilian casualties from mines/ERW,,Number,4320
1997,18.2.1 Number of civilian casualties from mines/ERW,,Number,2298
1998,18.2.1 Number of civilian casualties from mines/ERW,,Number,2150
1999,18.2.1 Number of civilian casualties from mines/ERW,,Number,1153
2000,18.2.1 Number of civilian casualties from mines/ERW,,Number,858
2001,18.2.1 Number of civilian casualties from mines/ERW,,Number,826
2002,18.2.1 Number of civilian casualties from mines/ERW,,Number,847
2003,18.2.1 Number of civilian casualties from mines/ERW,,Number,772
2004,18.2.1 Number of civilian casualties from mines/ERW,,Number,898
2005,18.2.1 Number of civilian casualties from mines/ERW,,Number,875
2006,18.2.1 Number of civilian casualties from mines/ERW,,Number,450
2007,18.2.1 Number of civilian casualties from mines/ERW,,Number,352
2008,18.2.1 Number of civilian casualties from mines/ERW,,Number,271
2009,18.2.1 Number of civilian casualties from mines/ERW,,Number,244
2010,18.2.1 Number of civilian casualties from mines/ERW,,Number,286
2011,18.2.1 Number of civilian casualties from mines/ERW,,Number,211
2012,18.2.1 Number of civilian casualties from mines/ERW,,Number,186
2013,18.2.1 Number of civilian casualties from mines/ERW,,Number,111
2014,18.2.1 Number of civilian casualties from mines/ERW,,Number,154
2015,18.2.1 Number of civilian casualties from mines/ERW,,Number,111
2016,18.2.1 Number of civilian casualties from mines/ERW,,Number,100
2017,18.2.1 Number of civilian casualties from mines/ERW,,Number,90
2018,18.2.1 Number of civilian casualties from mines/ERW,,Number,81
2019,18.2.1 Number of civilian casualties from mines/ERW,,Number,73
2020,18.2.1 Number of civilian casualties from mines/ERW,,Number,66
